iter	RMSE
0	14136.99376
1	14090.24936
2	14044.10319
3	13998.29052
4	13952.30593
5	13907.45703
6	13863.94381
7	13821.51078
8	13780.1784
9	13738.59148
10	13697.75076
11	13656.77952
12	13616.70324
13	13578.09867
14	13539.83542
15	13502.46628
16	13466.39072
17	13428.76678
18	13392.55587
19	13356.91983
20	13322.92455
21	13287.73011
22	13254.30312
23	13221.28691
24	13188.03888
25	13155.1759
26	13124.52126
27	13093.41362
28	13062.81232
29	13030.89245
30	12999.86178
31	12970.85796
32	12940.91444
33	12912.16308
34	12883.42556
35	12856.66021
36	12828.53378
37	12800.31384
38	12773.41094
39	12747.64371
40	12722.78234
41	12698.22183
42	12671.27875
43	12647.60518
44	12624.19449
45	12601.78768
46	12579.38425
47	12556.50962
48	12534.16207
49	12513.17885
50	12491.03039
51	12470.64822
52	12449.94591
53	12429.51184
54	12410.23177
55	12390.05859
56	12371.49435
57	12350.69836
58	12330.3553
59	12311.09662
60	12293.33476
61	12273.38776
62	12254.62225
63	12236.66199
64	12218.79047
65	12200.94487
66	12182.69902
67	12164.362
68	12145.97926
69	12129.43733
70	12113.37035
71	12097.48212
72	12080.80666
73	12065.64465
74	12050.62977
75	12035.20467
76	12018.52728
77	12005.1735
78	11991.50161
79	11975.36137
80	11961.6029
81	11949.27219
82	11936.39254
83	11923.44016
84	11910.52412
85	11896.16388
86	11881.14422
87	11869.0806
88	11854.62646
89	11841.95111
90	11830.67749
91	11817.75524
92	11806.34719
93	11795.62496
94	11783.88037
95	11772.71638
96	11760.84066
97	11749.72776
98	11739.49927
99	11728.58932
100	11717.89882
101	11706.82987
102	11696.2302
103	11686.78668
104	11675.49643
105	11665.89311
106	11655.67449
107	11644.44788
108	11633.65484
109	11624.63722
110	11615.75336
111	11607.4201
112	11596.7159
113	11588.51519
114	11581.3132
115	11571.53761
116	11564.47944
117	11556.00457
118	11546.91831
119	11538.86586
120	11530.22577
121	11522.7181
122	11512.74143
123	11504.06727
124	11495.6379
125	11487.6353
126	11480.59827
127	11473.64236
128	11464.68572
129	11457.33513
130	11448.62909
131	11441.81362
132	11433.78668
133	11426.28423
134	11419.31631
135	11411.01038
136	11403.24591
137	11395.18154
138	11389.21645
139	11381.17786
140	11374.05167
141	11366.00499
142	11358.40912
143	11350.86942
144	11343.39834
145	11337.2991
146	11332.1298
147	11326.54569
148	11320.41441
149	11313.87426
150	11306.42344
151	11299.45065
152	11293.24457
153	11287.99368
154	11281.01091
155	11276.09949
156	11269.6316
157	11264.69077
158	11260.09479
159	11254.62607
160	11248.91955
161	11242.51984
162	11235.218
163	11231.38043
164	11224.41361
165	11220.10997
166	11216.17125
167	11210.61651
168	11206.3922
169	11202.55182
170	11198.6548
171	11193.87849
172	11190.16903
173	11183.68122
174	11179.67898
175	11174.16093
176	11169.21016
177	11162.9135
178	11157.61385
179	11152.52079
180	11144.42253
181	11137.6781
182	11132.66148
183	11129.06863
184	11123.92348
185	11118.98329
186	11115.35012
187	11108.96203
188	11104.6397
189	11100.98475
190	11096.65407
191	11091.82995
192	11086.42303
193	11081.49329
194	11076.21834
195	11071.20248
196	11065.3126
197	11060.1494
198	11056.27681
199	11051.14633
200	11047.00104
201	11042.4876
202	11039.3128
203	11036.02751
204	11032.30738
205	11027.38983
206	11023.33636
207	11020.49153
208	11016.9921
209	11010.77102
210	11006.97568
211	10999.23597
212	10993.88257
213	10990.71079
214	10988.14074
215	10983.54288
216	10979.79717
217	10975.80995
218	10970.45829
219	10967.6842
220	10962.7549
221	10959.3823
222	10955.56335
223	10951.44223
224	10948.49887
225	10945.94021
226	10942.48368
227	10939.18541
228	10935.03189
229	10932.18016
230	10928.36296
231	10924.34051
232	10921.16331
233	10916.82749
234	10912.14189
235	10909.02876
236	10904.6552
237	10902.14551
238	10898.99564
239	10893.50518
240	10890.17732
241	10887.87763
242	10884.90023
243	10882.5565
244	10880.29427
245	10876.63137
246	10871.88415
247	10869.66545
248	10866.73157
249	10863.59046
250	10859.31758
251	10855.02479
252	10851.3093
253	10846.8547
254	10843.8022
255	10839.6982
256	10836.49109
257	10833.16914
258	10830.48287
259	10826.89433
260	10822.94261
261	10819.1562
262	10815.92558
263	10812.11372
264	10808.20427
265	10804.04192
266	10801.12409
267	10796.51606
268	10793.34798
269	10791.59018
270	10787.02089
271	10784.57058
272	10781.72056
273	10778.57059
274	10775.20359
275	10772.505
276	10766.94439
277	10763.67886
278	10761.89983
279	10758.41114
280	10756.34314
281	10754.12927
282	10752.36489
283	10750.5639
284	10747.96448
285	10744.51023
286	10741.72584
287	10738.41616
288	10733.22334
289	10730.98616
290	10729.29649
291	10726.60347
292	10722.87298
293	10720.57518
294	10717.43542
295	10713.15115
296	10711.34101
297	10708.34472
298	10704.95645
299	10701.93838
300	10698.32485
301	10694.98009
302	10692.92739
303	10689.82384
304	10686.87003
305	10683.17484
306	10680.54448
307	10678.08453
308	10675.75352
309	10672.33809
310	10668.99747
311	10666.70187
312	10665.01462
313	10661.89662
314	10658.80449
315	10656.81854
316	10653.73646
317	10651.59823
318	10647.68108
319	10645.15161
320	10642.29733
321	10639.84794
322	10636.79357
323	10633.62174
324	10631.8629
325	10627.71029
326	10625.15101
327	10623.39916
328	10620.728
329	10618.42921
330	10615.88022
331	10613.96687
332	10612.10631
333	10608.24759
334	10604.50938
335	10601.66075
336	10598.25631
337	10596.48987
338	10592.15352
339	10590.4735
340	10588.92805
341	10587.11163
342	10582.66302
343	10580.51594
344	10578.61345
345	10576.47676
346	10572.57912
347	10570.67042
348	10568.15967
349	10566.44193
350	10564.46833
351	10563.17643
352	10558.4327
353	10555.98878
354	10552.11423
355	10549.80728
356	10545.92174
357	10543.41353
358	10541.26621
359	10538.53296
360	10536.73266
361	10533.07256
362	10531.18083
363	10527.78249
364	10525.56285
365	10524.23122
366	10520.93255
367	10517.70824
368	10515.23319
369	10511.89956
370	10510.5656
371	10506.4606
372	10504.35955
373	10502.53133
374	10500.81772
375	10497.78243
376	10494.90562
377	10491.57419
378	10489.90991
379	10488.41666
380	10487.07736
381	10485.15112
382	10482.82255
383	10480.63911
384	10478.688
385	10475.77352
386	10473.44854
387	10470.3507
388	10469.0345
389	10466.81956
390	10464.67052
391	10461.72487
392	10457.99413
393	10456.42745
394	10454.69654
395	10451.48545
396	10449.04214
397	10447.82143
398	10444.88914
399	10443.12421
400	10440.88128
401	10438.40774
402	10436.90563
403	10433.96725
404	10432.34232
405	10428.98133
406	10426.55837
407	10424.46933
408	10422.98522
409	10421.88538
410	10418.67839
411	10417.6117
412	10412.37926
413	10411.26478
414	10409.53151
415	10406.16455
416	10405.07621
417	10401.994
418	10398.18656
419	10395.70319
420	10393.49626
421	10392.10031
422	10388.51747
423	10385.76576
424	10381.6614
425	10379.6214
426	10378.26949
427	10375.78019
428	10374.83045
429	10373.32771
430	10370.97886
431	10369.16558
432	10365.39679
433	10364.05222
434	10361.11185
435	10358.93444
436	10357.17516
437	10355.38349
438	10353.16125
439	10351.42774
440	10350.14747
441	10347.89661
442	10346.5335
443	10344.48983
444	10342.83991
445	10337.9919
446	10336.35356
447	10335.2341
448	10332.03203
449	10330.23679
450	10328.31906
451	10326.83132
452	10325.8787
453	10324.34177
454	10322.60857
455	10321.00809
456	10319.08202
457	10317.57697
458	10315.10656
459	10312.127
460	10310.97907
461	10308.525
462	10306.88583
463	10304.47955
464	10301.23607
465	10300.30812
466	10299.24545
467	10295.87631
468	10294.74392
469	10293.37839
470	10292.00453
471	10290.64921
472	10289.78644
473	10287.04386
474	10285.21759
475	10283.15217
476	10281.39249
477	10279.61728
478	10277.943
479	10275.81936
480	10274.87802
481	10273.43719
482	10272.05881
483	10270.94502
484	10268.56902
485	10265.8628
486	10264.51748
487	10262.29134
488	10260.58881
489	10258.20602
490	10255.79982
491	10255.02317
492	10252.75913
493	10250.30692
494	10247.4104
495	10245.37149
496	10242.50649
497	10240.43302
498	10237.16029
499	10235.91109
500	10234.47246
501	10231.34909
502	10228.88994
503	10225.98038
504	10224.34277
505	10222.63016
506	10221.52014
507	10220.08877
508	10217.69885
509	10216.18297
510	10213.75478
511	10212.08637
512	10209.83393
513	10208.34237
514	10207.18312
515	10206.14739
516	10203.76568
517	10202.34773
518	10201.28843
519	10199.2704
520	10197.29459
521	10195.83174
522	10193.86277
523	10191.95551
524	10190.34045
525	10187.9996
526	10185.50747
527	10182.69295
528	10181.46777
529	10178.70098
530	10177.29663
531	10176.24833
532	10174.76307
533	10173.85801
534	10172.12994
535	10170.46417
536	10168.23307
537	10164.82726
538	10163.35572
539	10162.0155
540	10160.38942
541	10158.22344
542	10157.19634
543	10154.50135
544	10152.93919
545	10151.52273
546	10150.88499
547	10148.19054
548	10147.3226
549	10145.79202
550	10144.9539
551	10143.14645
552	10141.0272
553	10140.03499
554	10138.95261
555	10136.64871
556	10134.86646
557	10133.59313
558	10132.08325
559	10128.40271
560	10126.87718
561	10125.02298
562	10123.63258
563	10122.62857
564	10121.62796
565	10118.98206
566	10117.82678
567	10116.00591
568	10114.24099
569	10112.51709
570	10110.89193
571	10106.86588
572	10104.50295
573	10101.98958
574	10099.03333
575	10097.72485
576	10094.86673
577	10093.94458
578	10091.59637
579	10090.3297
580	10087.47335
581	10086.3613
582	10084.97442
583	10082.8883
584	10081.92541
585	10081.03894
586	10079.19404
587	10077.00208
588	10074.99519
589	10073.19208
590	10071.89242
591	10068.57912
592	10067.10234
593	10066.01062
594	10063.83595
595	10062.86671
596	10061.87609
597	10060.09687
598	10058.749
599	10056.89317
600	10056.27184
601	10054.19748
602	10051.55496
603	10050.39385
604	10049.03501
605	10045.81346
606	10044.85715
607	10044.01529
608	10043.41653
609	10041.13511
610	10039.17358
611	10037.04192
612	10036.1185
613	10035.47736
614	10033.2959
615	10031.83286
616	10030.67314
617	10028.52978
618	10025.25211
619	10023.9725
620	10022.35272
621	10020.00075
622	10018.70596
623	10017.58263
624	10016.734
625	10015.64888
626	10013.9666
627	10012.29558
628	10010.26324
629	10008.41278
630	10007.13015
631	10004.97754
632	10004.4031
633	10003.95499
634	10001.94338
635	10000.94883
636	9999.369114
637	9998.237585
638	9996.42275
639	9994.284389
640	9992.557166
641	9991.653043
642	9989.090434
643	9986.128053
644	9984.164789
645	9982.226761
646	9981.005474
647	9979.617969
648	9976.613429
649	9975.557086
650	9974.238164
651	9972.625218
652	9971.680107
653	9969.72787
654	9968.93271
655	9965.767909
656	9964.807291
657	9964.024638
658	9962.736352
659	9961.564661
660	9959.260298
661	9957.467307
662	9956.337327
663	9954.087784
664	9953.405027
665	9951.626709
666	9949.976397
