iter	Passed	Remaining
0	12	12660
1	23	11706
2	34	11493
3	45	11284
4	55	11110
5	69	11562
6	79	11326
7	89	11117
8	99	10951
9	109	10796
10	118	10668
11	128	10548
12	137	10476
13	147	10400
14	157	10339
15	167	10301
16	177	10275
17	187	10236
18	197	10172
19	206	10127
20	219	10227
21	239	10634
22	256	10879
23	281	11467
24	296	11578
25	308	11566
26	318	11474
27	328	11395
28	338	11328
29	348	11266
30	358	11202
31	368	11142
32	378	11082
33	388	11026
34	397	10960
35	407	10906
36	417	10860
37	427	10817
38	436	10766
39	446	10721
40	460	10777
41	474	10817
42	484	10772
43	493	10727
44	503	10693
45	513	10654
46	523	10615
47	533	10574
48	542	10533
49	550	10453
50	559	10418
51	569	10381
52	579	10353
53	589	10325
54	599	10293
55	608	10264
56	618	10235
57	628	10201
58	637	10169
59	647	10138
60	656	10112
61	666	10087
62	676	10063
63	686	10035
64	695	10010
65	705	9980
66	714	9955
67	724	9931
68	734	9907
69	744	9888
70	753	9861
71	763	9836
72	772	9811
73	782	9787
74	791	9766
75	804	9780
76	814	9767
77	824	9747
78	834	9728
79	844	9707
80	854	9689
81	864	9679
82	874	9662
83	884	9643
84	893	9622
85	904	9608
86	914	9592
87	923	9572
88	933	9554
89	942	9532
90	952	9510
91	962	9496
92	974	9501
93	985	9500
94	995	9483
95	1005	9466
96	1014	9446
97	1024	9428
98	1034	9410
99	1044	9401
100	1057	9415
101	1067	9402
102	1077	9386
103	1087	9370
104	1097	9356
105	1107	9337
106	1116	9320
107	1126	9307
108	1136	9293
109	1146	9278
110	1156	9264
111	1166	9250
112	1176	9232
113	1185	9215
114	1196	9205
115	1209	9217
116	1219	9201
117	1228	9186
118	1238	9170
119	1248	9154
120	1259	9150
121	1271	9153
122	1282	9145
123	1292	9132
124	1302	9118
125	1312	9104
126	1323	9096
127	1333	9084
128	1343	9074
129	1353	9058
130	1363	9043
131	1372	9027
132	1382	9014
133	1392	8998
134	1401	8981
135	1411	8968
136	1421	8954
137	1431	8941
138	1444	8945
139	1459	8962
140	1468	8946
141	1478	8932
142	1488	8918
143	1498	8906
144	1508	8896
145	1519	8886
146	1530	8878
147	1541	8875
148	1552	8868
149	1564	8864
150	1576	8863
151	1587	8854
152	1598	8847
153	1610	8844
154	1620	8836
155	1633	8835
156	1644	8830
157	1654	8817
158	1666	8812
159	1676	8801
160	1687	8794
161	1698	8783
162	1708	8770
163	1718	8758
164	1729	8754
165	1741	8748
166	1750	8733
167	1760	8720
168	1770	8705
169	1780	8691
170	1789	8677
171	1799	8662
172	1809	8648
173	1819	8637
174	1829	8624
175	1839	8611
176	1851	8611
177	1862	8599
178	1872	8586
179	1882	8573
180	1892	8561
181	1901	8547
182	1911	8535
183	1921	8522
184	1932	8513
185	1942	8500
186	1952	8487
187	1961	8473
188	1971	8459
189	1981	8448
190	1991	8435
191	2001	8423
192	2011	8409
193	2021	8396
194	2030	8383
195	2044	8387
196	2054	8374
197	2064	8361
198	2073	8346
199	2083	8333
200	2092	8319
201	2102	8306
202	2111	8291
203	2120	8275
204	2130	8261
205	2140	8251
206	2151	8240
207	2160	8226
208	2170	8215
209	2180	8202
210	2189	8187
211	2198	8173
212	2208	8159
213	2218	8147
214	2227	8134
215	2237	8120
216	2247	8109
217	2256	8094
218	2266	8081
219	2276	8070
220	2286	8058
221	2298	8055
222	2312	8057
223	2322	8046
224	2333	8037
