,_id,year,make,model,code
0,{'$oid': '5f96f08c8ba96e2546164302'},2020,Acura,MDX,c29535
1,{'$oid': '5f96f08e8ba96e2546164303'},2019,Acura,MDX,c27735
2,{'$oid': '5f96f08e8ba96e2546164304'},2018,Acura,MDX,c27203
3,{'$oid': '5f96f08f8ba96e2546164305'},2017,Acura,MDX,c25860
4,{'$oid': '5f96f08f8ba96e2546164306'},2016,Acura,MDX,c24806
5,{'$oid': '5f96f08f8ba96e2546164307'},2015,Acura,MDX,c24469
6,{'$oid': '5f96f0908ba96e2546164308'},2014,Acura,MDX,c23903
7,{'$oid': '5f96f0908ba96e2546164309'},2013,Acura,MDX,c23615
8,{'$oid': '5f96f0908ba96e254616430a'},2012,Acura,MDX,c23166
9,{'$oid': '5f96f0908ba96e254616430b'},2011,Acura,MDX,c22362
10,{'$oid': '5f96f0918ba96e254616430c'},2010,Acura,MDX,c21974
11,{'$oid': '5f96f0918ba96e254616430d'},2009,Acura,MDX,c21176
12,{'$oid': '5f96f0918ba96e254616430e'},2008,Acura,MDX,c8392
13,{'$oid': '5f96f0928ba96e254616430f'},2007,Acura,MDX,c7299
14,{'$oid': '5f96f0928ba96e2546164310'},2006,Acura,MDX,c5269
15,{'$oid': '5f96f0928ba96e2546164311'},2005,Acura,MDX,c1051
16,{'$oid': '5f96f0928ba96e2546164312'},2004,Acura,MDX,c1057
17,{'$oid': '5f96f0938ba96e2546164313'},2003,Acura,MDX,c1064
18,{'$oid': '5f96f0938ba96e2546164314'},2002,Acura,MDX,c1069
19,{'$oid': '5f96f0938ba96e2546164315'},2001,Acura,MDX,c1076
20,{'$oid': '5f96f0938ba96e2546164316'},2020,Acura,MDX Hybrid Sport,c29536
21,{'$oid': '5f96f0948ba96e2546164317'},2019,Acura,MDX Hybrid Sport,c28489
22,{'$oid': '5f96f0948ba96e2546164318'},2018,Acura,MDX Hybrid Sport,c27513
23,{'$oid': '5f96f0958ba96e2546164319'},2017,Acura,MDX Hybrid Sport,c26800
24,{'$oid': '5f96f0958ba96e254616431a'},2020,Acura,NSX,c29661
25,{'$oid': '5f96f0958ba96e254616431b'},2019,Acura,NSX,c28707
26,{'$oid': '5f96f0958ba96e254616431c'},2018,Acura,NSX,c27457
27,{'$oid': '5f96f0968ba96e254616431d'},2017,Acura,NSX,c25598
28,{'$oid': '5f96f0968ba96e254616431e'},2005,Acura,NSX,c1052
29,{'$oid': '5f96f0968ba96e254616431f'},2004,Acura,NSX,c1058
30,{'$oid': '5f96f0968ba96e2546164320'},2003,Acura,NSX,c1065
31,{'$oid': '5f96f0978ba96e2546164321'},2002,Acura,NSX,c1070
32,{'$oid': '5f96f0978ba96e2546164322'},2021,Acura,RDX,c30789
33,{'$oid': '5f96f0978ba96e2546164323'},2020,Acura,RDX,c29214
34,{'$oid': '5f96f0978ba96e2546164324'},2019,Acura,RDX,c27474
35,{'$oid': '5f96f0988ba96e2546164325'},2018,Acura,RDX,c26940
36,{'$oid': '5f96f0988ba96e2546164326'},2017,Acura,RDX,c25850
37,{'$oid': '5f96f0988ba96e2546164327'},2016,Acura,RDX,c24915
38,{'$oid': '5f96f0988ba96e2546164328'},2015,Acura,RDX,c24406
39,{'$oid': '5f96f0998ba96e2546164329'},2014,Acura,RDX,c23997
40,{'$oid': '5f96f0998ba96e254616432a'},2013,Acura,RDX,c23298
41,{'$oid': '5f96f0998ba96e254616432b'},2012,Acura,RDX,c23064
42,{'$oid': '5f96f0998ba96e254616432c'},2011,Acura,RDX,c22360
43,{'$oid': '5f96f09a8ba96e254616432d'},2010,Acura,RDX,c21823
44,{'$oid': '5f96f09a8ba96e254616432e'},2009,Acura,RDX,c21078
45,{'$oid': '5f96f09a8ba96e254616432f'},2008,Acura,RDX,c8325
46,{'$oid': '5f96f09b8ba96e2546164330'},2007,Acura,RDX,c7323
47,{'$oid': '5f96f09b8ba96e2546164331'},2012,Acura,RL,c23206
48,{'$oid': '5f96f09b8ba96e2546164332'},2011,Acura,RL,c22364
49,{'$oid': '5f96f09b8ba96e2546164333'},2010,Acura,RL,c21793
50,{'$oid': '5f96f09c8ba96e2546164334'},2009,Acura,RL,c21148
51,{'$oid': '5f96f09c8ba96e2546164335'},2008,Acura,RL,c8289
52,{'$oid': '5f96f09c8ba96e2546164336'},2007,Acura,RL,c7390
